t	in	out	motor
5590.0	73.07	71.73	80.15
5592.0	73.00	71.75	79.46
5594.0	72.93	71.76	78.85
5596.0	72.86	71.77	78.30
5598.0	72.79	71.77	77.83
5600.0	72.73	71.76	77.41
5602.0	72.67	71.75	77.04
5604.0	72.62	71.73	76.72
5606.0	72.57	71.71	76.45
5608.0	72.52	71.68	76.20
5610.0	72.47	71.66	75.99
5612.0	72.45	71.63	76.71
5614.0	72.47	71.60	77.58
5616.0	72.53	71.57	78.52
5618.0	72.62	71.54	79.48
5620.0	72.71	71.52	80.40
5622.0	72.80	71.51	81.26
5624.0	72.90	71.51	82.03
5626.0	72.99	71.51	82.72
5628.0	73.08	71.52	83.32
5630.0	73.17	71.54	83.85
5632.0	73.25	71.57	84.31
5634.0	73.33	71.60	84.71
5636.0	73.40	71.63	85.06
5638.0	73.47	71.67	85.36
5640.0	73.54	71.72	85.62
5642.0	73.59	71.76	85.15
5644.0	73.60	71.81	84.61
5646.0	73.59	71.86	84.06
5648.0	73.57	71.90	83.55
5650.0	73.55	71.94	83.08
5652.0	73.53	71.98	82.66
5654.0	73.50	72.01	82.30
5656.0	73.49	72.04	81.98
5658.0	73.47	72.07	81.71
5660.0	73.46	72.09	81.48
5662.0	73.45	72.10	81.28
5664.0	73.44	72.12	81.11
5666.0	73.43	72.13	80.97
5668.0	73.43	72.14	80.86
5670.0	73.42	72.15	80.76
5672.0	73.41	72.15	80.31
5674.0	73.37	72.16	79.76
5676.0	73.32	72.16	79.20
5678.0	73.26	72.16	78.64
5680.0	73.20	72.15	78.13
5682.0	73.13	72.14	77.65
5684.0	73.06	72.13	77.21
5686.0	72.99	72.11	76.82
5688.0	72.93	72.09	76.46
5690.0	72.86	72.06	76.15
5692.0	72.80	72.03	75.87
5694.0	72.74	72.00	75.61
5696.0	72.68	71.97	75.39
5698.0	72.62	71.93	75.19
5700.0	72.57	71.89	75.01
5702.0	72.53	71.84	75.28
5704.0	72.51	71.80	75.65
5706.0	72.50	71.76	76.07
5708.0	72.52	71.72	76.53
5710.0	72.53	71.68	76.98
5712.0	72.56	71.65	77.41
5714.0	72.58	71.62	77.82
5716.0	72.61	71.59	78.18
5718.0	72.63	71.57	78.51
5720.0	72.65	71.55	78.80
5722.0	72.67	71.54	79.05
5724.0	72.69	71.52	79.27
5726.0	72.71	71.52	79.45
5728.0	72.72	71.51	79.61
5730.0	72.74	71.51	79.75
5732.0	72.74	71.51	79.42
5734.0	72.71	71.51	78.97
5736.0	72.67	71.51	78.48
5738.0	72.61	71.51	77.99
5740.0	72.55	71.50	77.52
5742.0	72.49	71.49	77.08
5744.0	72.42	71.48	76.68
5746.0	72.36	71.46	76.32
5748.0	72.30	71.44	75.99
5750.0	72.24	71.42	75.69
5752.0	72.18	71.39	75.43
5754.0	72.12	71.36	75.19
5756.0	72.07	71.33	74.98
5758.0	72.01	71.29	74.79
5760.0	71.96	71.26	74.62
5762.0	71.92	71.22	74.72
5764.0	71.89	71.18	74.94
5766.0	71.87	71.14	75.24
5768.0	71.87	71.10	75.59
5770.0	71.88	71.06	75.96
5772.0	71.89	71.03	76.32
