Roll	Vel	Angle
1.500000	10.430639	15.600000
1.510000	10.430639	15.500000
1.490000	10.441750	15.500000
1.460000	10.430639	15.200000
1.440000	10.427861	14.500000
1.460000	10.430639	14.200000
1.450000	10.438972	14.600000
1.420000	10.430639	14.300000
1.410000	10.425083	14.500000
1.400000	10.425083	14.700000
1.370000	10.427861	14.200000
1.320000	10.422306	13.900000
1.310000	10.413972	13.700000
1.300000	10.416750	13.300000
1.260000	10.425083	13.300000
1.230000	10.419528	13.200000
1.220000	10.419528	12.900000
1.230000	10.425083	12.300000
1.210000	10.427861	10.800000
1.190000	10.419528	9.900000
1.200000	10.408417	9.100000
1.220000	10.416750	8.900000
1.200000	10.413972	8.400000
1.200000	10.408417	8.000000
1.200000	10.402861	8.500000
1.190000	10.411194	8.900000
1.160000	10.413972	8.800000
1.130000	10.405639	9.000000
1.130000	10.402861	9.500000
1.110000	10.411194	9.600000
1.070000	10.405639	9.900000
1.040000	10.397305	10.200000
1.040000	10.391750	10.000000
1.030000	10.397305	9.900000
1.000000	10.388972	10.500000
0.990000	10.386194	10.500000
1.000000	10.380639	9.700000
1.010000	10.391750	9.200000
1.000000	10.391750	9.400000
0.970000	10.388972	9.400000
0.960000	10.386194	8.900000
0.950000	10.388972	8.800000
0.930000	10.386194	9.100000
0.900000	10.380639	9.000000
0.880000	10.375083	9.100000
0.870000	10.377861	8.800000
0.810000	10.377861	8.700000
0.770000	10.372305	9.000000
0.760000	10.369527	8.400000
0.740000	10.377861	8.400000
0.720000	10.375083	8.400000
0.690000	10.366750	8.700000
0.680000	10.363972	8.600000
0.660000	10.369527	8.500000
0.650000	10.366750	8.400000
0.670000	10.361194	8.200000
0.730000	10.361194	8.000000
0.760000	10.363972	8.200000
0.760000	10.361194	8.200000
0.790000	10.352861	8.200000
0.840000	10.347305	8.500000
0.880000	10.352861	9.100000
0.900000	10.352861	8.900000
0.930000	10.344527	8.700000
1.000000	10.350083	9.400000
1.050000	10.361194	9.800000
1.070000	10.366750	9.200000
1.090000	10.361194	8.900000
1.140000	10.355638	9.300000
1.190000	10.361194	9.300000
1.210000	10.355638	9.300000
1.250000	10.347305	9.300000
1.300000	10.344527	9.400000
1.320000	10.355638	9.500000
1.310000	10.352861	10.100000
1.300000	10.344527	10.400000
1.340000	10.341749	10.000000
1.350000	10.350083	9.900000
1.350000	10.344527	9.800000
1.340000	10.341749	10.000000
1.370000	10.341749	10.100000
1.380000	10.350083	10.000000
1.370000	10.350083	10.300000
1.370000	10.341749	10.500000
1.410000	10.341749	10.500000
1.450000	10.347305	10.600000
1.430000	10.344527	10.800000
1.430000	10.336194	10.700000
1.460000	10.333416	10.600000
1.490000	10.338972	11.000000
1.490000	10.336194	10.800000
1.490000	10.327860	10.900000
1.500000	10.327860	11.500000
1.530000	10.336194	11.600000
1.510000	10.336194	11.900000
1.510000	10.327860	12.000000
1.530000	10.325083	12.600000
1.550000	10.330638	12.800000
1.550000	10.327860	12.400000
1.570000	10.319527	12.000000
1.610000	10.313971	12.700000
1.650000	10.322305	12.600000
1.660000	10.319527	12.400000
1.680000	10.311194	12.600000
1.700000	10.308416	12.800000
1.730000	10.311194	13.800000
1.740000	10.308416	14.600000
1.750000	10.297305	15.100000
1.760000	10.291749	15.700000
1.740000	10.300082	17.200000
1.720000	10.297305	17.500000
1.730000	10.288971	17.500000
1.780000	10.283416	17.800000
1.800000	10.288971	17.300000
1.780000	10.286193	17.100000
1.800000	10.275082	17.900000
1.830000	10.269527	17.900000
1.860000	10.275082	17.700000
1.850000	10.275082	17.100000
1.850000	10.266749	18.000000
1.880000	10.263971	18.400000
1.890000	10.269527	18.500000
1.890000	10.269527	18.500000
1.880000	10.258415	19.300000
1.890000	10.252860	20.600000
1.910000	10.255638	22.000000
1.900000	10.255638	22.200000
1.910000	10.241749	22.800000
1.940000	10.233415	22.800000
1.970000	10.238971	22.800000
1.990000	10.236193	22.300000
2.010000	10.222304	22.800000
2.050000	10.216748	22.700000
2.090000	10.219526	22.400000
2.090000	10.219526	22.600000
2.100000	10.211193	22.800000
2.150000	10.202859	23.000000
2.190000	10.211193	22.800000
2.170000	10.208415	23.000000
2.170000	10.200082	23.300000
2.170000	10.191748	23.300000
2.170000	10.200082	23.500000
2.170000	10.197304	24.000000
2.150000	10.194526	24.800000
2.140000	10.186193	24.800000
2.130000	10.200082	24.800000
